"pwgsi","P","m"
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.732272727272727,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.732272727272727,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.6675,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.6675,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.732272727272727,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.905,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
0.732272727272727,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.01
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.654545454545455,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.487987012987013,0,0.1
1,0,0.1
1,0,0.1
0.525,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.6675,0,0.1
0.6675,0,0.1
0.565714285714286,0.001,0.1
0.654545454545455,0,0.1
0.732272727272727,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.905,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.6675,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
0.589772727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.905,0,0.1
0.905,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
0.612692307692308,0,0.1
0.905,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.905,0,0.1
0.589772727272727,0,0.1
0.565714285714286,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
0.612692307692308,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
0.905,0,0.1
0.905,0,0.1
0.732272727272727,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
0.565714285714286,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.565714285714286,0.001,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.654545454545455,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.6675,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.447272727272727,0.001,0.1
0.565714285714286,0.001,0.1
0.612692307692308,0,0.1
1,0,0.1
0.654545454545455,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
0.732272727272727,0,0.1
0.905,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
0.565714285714286,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.589772727272727,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0.001,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
0.732272727272727,0,0.1
0.732272727272727,0,0.1
0.612692307692308,0,0.1
0.6675,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.612692307692308,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0.001,0.1
1,0,0.1
0.905,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
1,0,0.1
0.612692307692308,0,0.1
1,0,0.1
1,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.6675,0,0.1
1,0,0.1
0.905,0,0.1
0.905,0,0.1
1,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
0.6675,0,0.1
0.612692307692308,0,0.1
1,0,0.1
0.732272727272727,0,0.1
1,0,0.1
1,0,0.1
0.204375,0.153,100
0.025,0.894,100
0.145,0.291,100
0.204375,0.119,100
0.084375,0.575,100
0.16875,0.148,100
0.24,0.087,100
0.0529411764705883,0.638,100
0.105882352941177,0.537,100
0.137316176470588,0.274,100
0.172941176470588,0.257,100
0.109375,0.325,100
0.105882352941177,0.668,100
0.12,0.296,100
0.025,0.971,100
0.109375,0.539,100
0.204375,0.171,100
0.245089285714286,0.046,100
0.109375,0.289,100
0.084375,0.656,100
0.16875,0.253,100
0.137316176470588,0.265,100
0.109375,0.453,100
0.105882352941177,0.426,100
0.280714285714286,0.024,100
0.0529411764705883,0.718,100
0.204375,0.098,100
0.172941176470588,0.155,100
0.137316176470588,0.33,100
0.204375,0.064,100
0.105882352941177,0.56,100
0.321428571428572,0.007,100
0.137316176470588,0.3,100
0.0779411764705883,0.763,100
0.137316176470588,0.31,100
0.145,0.197,100
0.05,0.817,100
0.105882352941177,0.496,100
0.109375,0.219,100
0.137316176470588,0.554,100
0.025,0.927,100
0.204375,0.08,100
0.137316176470588,0.357,100
0.109375,0.293,100
0.280714285714286,0.044,100
0.204375,0.113,100
0.05,0.798,100
0.105882352941177,0.52,100
0.137316176470588,0.434,100
0.137316176470588,0.252,100
0.0779411764705883,0.73,100
0.105882352941177,0.473,100
0.280714285714286,0.023,100
0.0529411764705883,0.776,100
0.084375,0.526,100
0.105882352941177,0.635,100
0.0529411764705883,0.745,100
0.204375,0.154,100
0.137316176470588,0.394,100
0.16875,0.241,100
0.12,0.321,100
0.204375,0.069,100
0.137316176470588,0.454,100
0.05,0.865,100
0.0529411764705883,0.786,100
0.05,0.84,100
0.0529411764705883,0.666,100
0.204375,0.081,100
0.105882352941177,0.684,100
0.109375,0.514,100
0.0779411764705883,0.657,100
0.280714285714286,0.028,100
0.105882352941177,0.527,100
0.172941176470588,0.133,100
0.172941176470588,0.2,100
0.105882352941177,0.505,100
0.05,0.913,100
0.025,0.882,100
0.05,0.804,100
0.105882352941177,0.576,100
0.109375,0.249,100
0.204375,0.136,100
0.05,0.869,100
0.137316176470588,0.184,100
0.137316176470588,0.331,100
0.280714285714286,0.02,100
0.245089285714286,0.033,100
0.137316176470588,0.18,100
0.24,0.091,100
0.185714285714286,0.11,100
0.368406593406593,0.005,100
0.109375,0.309,100
0.327692307692308,0.01,100
0.109375,0.577,100
0.0779411764705883,0.619,100
0.204375,0.158,100
0.16875,0.22,100
0.0529411764705883,0.722,100
0.0779411764705883,0.662,100
0.204375,0.096,100
0.0529411764705883,0.714,100
0.109375,0.684,100
0.0529411764705883,0.644,100
0.0779411764705883,0.752,100
0.05,0.834,100
0.109375,0.477,100
0.327692307692308,0.025,100
0.0779411764705883,0.534,100
0.025,0.949,100
0.0779411764705883,0.557,100
0.0779411764705883,0.848,100
0.109375,0.355,100
0.137316176470588,0.278,100
0.145,0.195,100
0.105882352941177,0.486,100
0.05,0.871,100
0.137316176470588,0.389,100
0.16875,0.163,100
0.245089285714286,0.031,100
0.109375,0.502,100
0.280714285714286,0.02,100
0.105882352941177,0.537,100
0.423214285714286,0,100
0.0779411764705883,0.718,100
0.204375,0.114,100
0.0529411764705883,0.896,100
0.16875,0.163,100
0.0529411764705883,0.615,100
0.0529411764705883,0.797,100
0.109375,0.294,100
0.368406593406593,0.008,100
0.109375,0.397,100
0.137316176470588,0.266,100
0.213655462184874,0.05,100
0.245089285714286,0.037,100
0.321428571428572,0.013,100
0.025,0.909,100
0.145,0.223,100
0.105882352941177,0.444,100
0.16875,0.189,100
0.204375,0.103,100
0.172941176470588,0.223,100
0.204375,0.115,100
0.05,0.819,100
0.368406593406593,0.006,100
0.105882352941177,0.513,100
0.137316176470588,0.339,100
0.0779411764705883,0.654,100
0.109375,0.462,100
0.0779411764705883,0.67,100
0.109375,0.337,100
0.0779411764705883,0.511,100
0.105882352941177,0.467,100
0.204375,0.103,100
0.05,0.792,100
0.172941176470588,0.121,100
0.185714285714286,0.099,100
0.204375,0.055,100
0.16875,0.209,100
0.145,0.193,100
0.245089285714286,0.062,100
0.0529411764705883,0.73,100
0.0779411764705883,0.642,100
0.05,0.841,100
0.05,0.838,100
0.280714285714286,0.025,100
0.321428571428572,0.009,100
0.0779411764705883,0.498,100
0.24,0.088,100
0.145,0.143,100
0.232692307692308,0.044,100
0.137316176470588,0.308,100
0.137316176470588,0.266,100
0.137316176470588,0.213,100
0.137316176470588,0.28,100
0.137316176470588,0.28,100
0.137316176470588,0.304,100
0.245089285714286,0.05,100
0.0779411764705883,0.697,100
0.0529411764705883,0.668,100
0.109375,0.403,100
0.423214285714286,0,100
0.109375,0.531,100
0.109375,0.411,100
0.084375,0.508,100
0.204375,0.172,100
0.172941176470588,0.161,100
0.204375,0.127,100
0.24,0.078,100
0.05,0.857,100
0.0779411764705883,0.769,100
0.105882352941177,0.503,100
0.3825,0.003,100
0.05,0.732,100
0.084375,0.534,100
0.137316176470588,0.321,100
0.16875,0.173,100
0.172941176470588,0.176,100
0.16875,0.199,100
0.109375,0.418,100
0.24,0.069,100
0.245089285714286,0.037,100
0.105882352941177,0.512,100
0.109375,0.365,100
0.204375,0.101,100
0.137316176470588,0.315,100
0.025,0.894,100
0.145,0.341,100
0.137316176470588,0.229,100
0.321428571428572,0.012,100
0.280714285714286,0.016,100
0.137316176470588,0.313,100
0.025,0.789,100
0.137316176470588,0.213,100
0.05,0.867,100
0.525,0,100
0.137316176470588,0.272,100
0.05,0.861,100
0.24,0.065,100
0.204375,0.04,100
0.105882352941177,0.437,100
0.145,0.333,100
0.204375,0.114,100
0.105882352941177,0.499,100
0.137316176470588,0.336,100
0.204375,0.06,100
0.137316176470588,0.246,100
0.05,0.916,100
0.0779411764705883,0.641,100
0.137316176470588,0.275,100
0.05,0.801,100
0.16875,0.206,100
0.109375,0.473,100
0.105882352941177,0.505,100
0.172941176470588,0.102,100
0.137316176470588,0.443,100
0.137316176470588,0.425,100
0.105882352941177,0.607,100
0.0779411764705883,0.577,100
0.137316176470588,0.352,100
0.105882352941177,0.412,100
0.16875,0.169,100
0.327692307692308,0.011,100
0.105882352941177,0.468,100
0.0779411764705883,0.649,100
0.213655462184874,0.081,100
0.24,0.085,100
0.0779411764705883,0.707,100
0.025,0.882,100
0.137316176470588,0.338,100
0.109375,0.395,100
0.0529411764705883,0.785,100
0.16875,0.273,100
0.327692307692308,0.004,100
0.137316176470588,0.256,100
0.105882352941177,0.607,100
0.05,0.815,100
0.16875,0.091,100
0.0779411764705883,0.799,100
0.204375,0.131,100
0.204375,0.085,100
0.16875,0.247,100
0.321428571428572,0.023,100
0.280714285714286,0.025,100
0.0779411764705883,0.484,100
0.12,0.387,100
0.109375,0.39,100
0.05,0.822,100
0.137316176470588,0.355,100
0.0779411764705883,0.606,100
0.137316176470588,0.253,100
0.025,0.874,100
0.105882352941177,0.457,100
0.204375,0.084,100
0.415384615384615,0.003,100
0.105882352941177,0.493,100
0.105882352941177,0.557,100
0.280714285714286,0.035,100
0.16875,0.199,100
0.137316176470588,0.254,100
0.16875,0.175,100
0.0779411764705883,0.505,100
0.16875,0.345,100
0.109375,0.47,100
0.05,0.789,100
0.109375,0.179,100
0.204375,0.151,100
0.145,0.281,100
0.245089285714286,0.032,100
0.025,0.93,100
0.109375,0.476,100
0.204375,0.115,100
0.025,0.913,100
0.084375,0.555,100
0.368406593406593,0.007,100
0.105882352941177,0.441,100
0.0779411764705883,0.638,100
0.137316176470588,0.419,100
0.292067307692308,0.019,100
0.084375,0.524,100
0.321428571428572,0.013,100
0.137316176470588,0.231,100
0.321428571428572,0.012,100
0.025,0.959,100
0.05,0.854,100
0.084375,0.716,100
0.0779411764705883,0.731,100
0.137316176470588,0.32,100
0.0779411764705883,0.868,100
0.0779411764705883,0.614,100
0.0779411764705883,0.645,100
0.109375,0.374,100
0.105882352941177,0.795,100
0.172941176470588,0.097,100
0.204375,0.066,100
0.368406593406593,0.002,100
0.16875,0.16,100
0.16875,0.253,100
0.160714285714286,0.155,100
0.0529411764705883,0.762,100
0.204375,0.066,100
0.204375,0.093,100
0.16875,0.204,100
0.137316176470588,0.201,100
0.137316176470588,0.215,100
0.105882352941177,0.489,100
0.137316176470588,0.267,100
0.204375,0.109,100
0.137316176470588,0.191,100
0.05,0.812,100
0.0779411764705883,0.65,100
0.109375,0.359,100
0.423214285714286,0,100
0.137316176470588,0.228,100
0.0779411764705883,0.797,100
0.105882352941177,0.426,100
0.204375,0.115,100
0.137316176470588,0.223,100
0.172941176470588,0.187,100
0.204375,0.114,100
0.109375,0.376,100
0.16875,0.207,100
0.204375,0.102,100
